"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2016 GU2)","2113-2113","1","1.2e-8","39.17","24.1","0.052","-7.10","-7.10","0","bK16G02U"
"(2016 WU)","2089-2109","3","2.6e-6","7.05","27.3","0.012","-7.11","-7.11","0","bK16W00U"
"(2013 XU21)","2055-2055","1","2.3e-7","11.04","26.2","0.020","-7.12","-7.12","0","bK13X21U"
"(2014 HR197)","2018-2112","197","8.0e-8","17.06","26.9","0.014","-7.13","-7.92","0","bK14HJ7R"
"(2015 YM1)","2096-2115","5","6.9e-6","6.81","28.4","0.007","-7.14","-7.23","0","bK15Y01M"
"(2016 AU193)","2109-2109","1","9.4e-8","21.77","25.3","0.030","-7.15","-7.15","0","bK16AJ3U"
"(2012 CR)","2025-2025","1","1.2e-10","14.18","21.0","0.210","-7.16","-7.16","0","bK12C00R"
"(2016 RQ41)","2116-2116","1","1.7e-10","30.50","20.0","0.350","-7.16","-7.16","0","bK16R41Q"
"(2008 UA92)","2078-2078","1","1.3e-6","8.38","27.3","0.012","-7.18","-7.18","0","bK08U92A"
"(2016 TQ54)","2096-2113","7","1.7e-6","9.00","27.3","0.012","-7.18","-7.69","0","bK16T54Q"
"(2016 WT)","2072-2115","33","2.4e-5","10.71","29.7","0.004","-7.18","-7.94","0","bK16W00T"
"(2017 TP2)","2090-2090","1","5.9e-8","10.93","24.5","0.043","-7.18","-7.18","0","bK17T02P"
"(2005 UA1)","2036-2036","1","9.1e-8","14.68","26.4","0.018","-7.19","-7.19","0","bK05U01A"
"(2010 CK19)","2089-2116","7","4.4e-6","5.01","27.9","0.009","-7.19","-7.75","0","bK10C19K"
"(2008 HC38)","2029-2029","1","4.4e-8","14.05","26.1","0.020","-7.20","-7.20","0","bK08H38C"
"(2012 SU9)","2084-2111","6","1.4e-6","10.85","27.2","0.012","-7.21","-7.39","0","bK12S09U"
"(2014 HE199)","2039-2039","1","2.4e-8","14.50","25.0","0.033","-7.21","-7.21","0","bK14HJ9E"
"(2011 FA23)","2025-2102","6","3.6e-6","14.34","28.9","0.006","-7.22","-7.37","0","bK11F23A"
"(2010 VN1)","2050-2066","5","1.9e-6","10.98","28.3","0.007","-7.23","-7.45","0","bK10V01N"
"(2016 EG28)","2079-2108","6","1.8e-6","14.66","27.8","0.009","-7.23","-7.47","0","bK16E28G"
"(2010 XC)","2017-2111","332","3.0e-6","3.94","29.1","0.005","-7.24","-7.91","0","bK10X00C"
"(2011 SE58)","2042-2055","3","5.8e-7","15.69","27.6","0.010","-7.25","-7.39","0","bK11S58E"
"(2014 KC45)","2066-2110","20","1.2e-5","8.91","29.4","0.004","-7.25","-7.71","0","bK14K45C"
"(2004 XG29)","2112-2114","2","2.5e-7","5.10","25.4","0.029","-7.26","-7.39","0","bK04X29G"
"(2006 DO62)","2036-2095","13","1.8e-6","11.30","28.3","0.008","-7.27","-7.69","0","bK06D62O"
"(2010 VR139)","2019-2076","14","4.6e-8","5.43","26.7","0.016","-7.27","-7.29","0","bK10VD9R"
"(2002 EM7)","2117-2117","2","6.1e-8","10.28","24.4","0.045","-7.27","-7.28","0","bK02E07M"
"(2017 KC36)","2037-2061","3","6.5e-7","11.93","27.4","0.011","-7.27","-7.32","0","bK17K36C"
"(2017 RX17)","2029-2116","43","3.3e-7","7.54","26.9","0.014","-7.28","-8.02","0","bK17R17X"
"(2017 PL26)","2100-2100","1","4.4e-9","8.72","22.1","0.130","-7.29","-7.29","0","bK17P26L"
"(2017 BK30)","2085-2085","2","9.0e-7","9.95","27.2","0.012","-7.30","-7.54","0","bK17B30K"
"(2014 JU79)","2030-2101","10","4.2e-9","6.31","23.0","0.084","-7.30","-7.83","0","bK14J79U"
"(2015 HS182)","2018-2113","114","5.2e-8","7.35","25.8","0.023","-7.30","-7.98","0","bK15HI2S"
"(2016 BQ15)","2072-2098","2","4.1e-8","21.04","25.1","0.032","-7.30","-7.48","0","bK16B15Q"
"(2014 HJ197)","2036-2116","412","1.9e-5","4.63","30.2","0.003","-7.31","-7.84","0","bK14HJ7J"
"(2008 BN16)","2083-2083","1","1.1e-7","18.62","25.9","0.022","-7.32","-7.32","0","bK08B16N"
"(2012 TU231)","2111-2111","1","3.8e-7","9.97","26.2","0.020","-7.33","-7.33","0","bK12TN1U"
